surveyId,surveyName,questionId,questionText,questionType,required,scale,timestamp,customerId,responseValue,responseText
survey_001,Customer Satisfaction Survey,nps_score,How likely are you to recommend our service?,nps,true,10,2024-01-15T10:00:00Z,cust_001,9,
survey_001,Customer Satisfaction Survey,feedback,What can we improve?,open_text,false,,2024-01-15T10:00:00Z,cust_001,,Great service! Very responsive support team.
survey_001,Customer Satisfaction Survey,nps_score,How likely are you to recommend our service?,nps,true,10,2024-01-15T11:30:00Z,cust_002,7,
survey_001,Customer Satisfaction Survey,feedback,What can we improve?,open_text,false,,2024-01-15T11:30:00Z,cust_002,,Could improve the onboarding process
survey_001,Customer Satisfaction Survey,nps_score,How likely are you to recommend our service?,nps,true,10,2024-01-15T14:15:00Z,cust_003,10,
survey_001,Customer Satisfaction Survey,feedback,What can we improve?,open_text,false,,2024-01-15T14:15:00Z,cust_003,,Absolutely love the platform! No improvements needed.
survey_001,Customer Satisfaction Survey,nps_score,How likely are you to recommend our service?,nps,true,10,2024-01-16T09:00:00Z,cust_004,6,
survey_001,Customer Satisfaction Survey,feedback,What can we improve?,open_text,false,,2024-01-16T09:00:00Z,cust_004,,The mobile app could be better
survey_001,Customer Satisfaction Survey,nps_score,How likely are you to recommend our service?,nps,true,10,2024-01-16T16:45:00Z,cust_005,8,
survey_001,Customer Satisfaction Survey,feedback,What can we improve?,open_text,false,,2024-01-16T16:45:00Z,cust_005,,More integration options would be helpful
survey_001,Customer Satisfaction Survey,nps_score,How likely are you to recommend our service?,nps,true,10,2024-01-17T12:00:00Z,cust_006,5,
survey_001,Customer Satisfaction Survey,feedback,What can we improve?,open_text,false,,2024-01-17T12:00:00Z,cust_006,,Pricing is too high for small businesses
survey_001,Customer Satisfaction Survey,nps_score,How likely are you to recommend our service?,nps,true,10,2024-01-17T15:30:00Z,cust_007,9,
survey_001,Customer Satisfaction Survey,feedback,What can we improve?,open_text,false,,2024-01-17T15:30:00Z,cust_007,,Excellent product, great customer service
survey_001,Customer Satisfaction Survey,nps_score,How likely are you to recommend our service?,nps,true,10,2024-01-18T10:15:00Z,cust_008,7,
survey_001,Customer Satisfaction Survey,feedback,What can we improve?,open_text,false,,2024-01-18T10:15:00Z,cust_008,,Documentation could be more comprehensive
survey_001,Customer Satisfaction Survey,nps_score,How likely are you to recommend our service?,nps,true,10,2024-01-18T13:20:00Z,cust_009,8,
survey_001,Customer Satisfaction Survey,feedback,What can we improve?,open_text,false,,2024-01-18T13:20:00Z,cust_009,,Overall very good, minor UI improvements needed
survey_001,Customer Satisfaction Survey,nps_score,How likely are you to recommend our service?,nps,true,10,2024-01-19T11:00:00Z,cust_010,10,
survey_001,Customer Satisfaction Survey,feedback,What can we improve?,open_text,false,,2024-01-19T11:00:00Z,cust_010,,Perfect! Already recommended to colleagues

